----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
Akh                        AKH_DROME    P61855      FBgn0004552
akirin                     AKIRN_DROME  Q9VS59      FBgn0082598
Akt1                       AKT1_DROME   Q8INB9      FBgn0010379
al                         AL_DROME     Q06453      FBgn0000061
Ald                        ALF_DROME    P07764      FBgn0000064
Alg10                      ALG10_DROME  Q8T8L8      FBgn0052076
alien                      CSN2_DROME   Q94899      FBgn0013746
alpha-Cat                  CTNA_DROME   P35220      FBgn0010215
alpha-Man-Ia               MA1A1_DROME  P53624      FBgn0259170
alpha-Man-II               MAN2_DROME   Q24451      FBgn0011740
alpha-PheRS                SYFA_DROME   Q9W3J5      FBgn0030007
alphaSnap                  SNAP_DROME   Q23983      FBgn0250791
alpha-Spec                 SPTCA_DROME  P13395      FBgn0250789
alphaTry                   TRYA_DROME   P04814      FBgn0003863
                    Dere   TRYA_DROER   P54624      FBgn0015076
alphaTub67C                TBA4_DROME   P06606      FBgn0087040
alphaTub84B                TBA1_DROME   P06603      FBgn0003884
alphaTub84D                TBA3_DROME   P06605      FBgn0003885
alphaTub85E                TBA2_DROME   P06604      FBgn0003886
Als2                       ALS2_DROME   Q9VNZ8      FBgn0037116
Ama                        AMAL_DROME   P15364      FBgn0000071
amd                        L2AM_DROME   P18486      FBgn0000075
                    Dleb   L2AM_DROLE   O96569      FBgn0025670
                    Dsim   L2AM_DROSI   P81893      FBgn0018304
amn                        AMN_DROME    Q24049      FBgn0086782
Amnionless                 AMNLS_DROME  Q9VPN2      FBgn0025686
amos                       AMOS_DROME   Q9Y0A7      FBgn0003270
amx                        AMX_DROME    Q9U4H5      FBgn0000077
Amy4N               Dana   AM4N_DROAN   Q23834      FBgn0259988
Amy35               Dana   AMY1_DROAN   Q23835      FBgn0261677
Amy58               Dana   AMY2_DROAN   O18345      FBgn0261676
Amyc6               Dana   AMYR_DROAN   O18344      FBgn0020487
Amy-d                      AMYB_DROME   P81641      FBgn0000078
                    Dmau   AMYA_DROMA   P54215      FBgn0012498
                    Dyak   AMYB_DROYA   Q9BN01      FBgn0013165
Amy-p                      AMYA_DROME   P08144      FBgn0000079
                    Dmau   AMYA_DROMA   P54215      FBgn0012499
                    Dyak   AMYA_DROYA   P83833      FBgn0013166
Amyrel                     AMYR_DROME   O18408      FBgn0020506
                    Datr   AMYR_DROAP   O77011      FBgn0021694
                    Daur   AMYR_DROAV   O77020      FBgn0021682
                    Dbak   AMYR_DROBA   O77019      FBgn0021666
                    Dbip   AMYR_DROBP   Q9NJN8      FBgn0029467
                    Dboc   AMYR_DROBC   O76284      FBgn0046208
                    Ddos   AMYR_DRODO   O77021      FBgn0021566
                    Dele   AMYR_DROEL   Q9NJP0      FBgn0029435
                    Derc   AMYR_DROEC   O77012      FBgn0021555
                    Dere   AMYR_DROER   O76265      FBgn0025090
                    Djam   AMYR_DROJA   Q9GQV3      FBgn0043697
                    Dkik   AMYR_DROKI   O77013      FBgn0021451
                    Dlii   AMYR_DROLN   O76262      FBgn0025085
                    Dmau   AMYR_DROMA   O77014      FBgn0021368
                    Dore   AMYR_DROOR   O77015      FBgn0021266
                    Dpse   AMYR_DROPS   O18552      FBgn0243574
                    Dpun   AMYR_DROPN   O77022      FBgn0021218
                    Dsec   AMYR_DROSE   O76261      FBgn0025060
                    Dser   AMYR_DROSR   O76459      FBgn0025044
                    Dsim   AMYR_DROSI   O77016      FBgn0021128
                    Dsub   AMYR_DROSU   O18420      FBgn0020466
                    Dtak   AMYR_DROTK   O77018      FBgn0021059
                    Dtei   AMYR_DROTE   O76260      FBgn0025018
                    Dvar   AMYR_DROVA   Q9NJN7      FBgn0029206
                    Dwil   AMYR_DROWI   O76263      FBgn0025016
                    Dyak   AMYR_DROYA   O76264      FBgn0025015
ana                        ANA_DROME    Q26307      FBgn0011746
Ance                       ACE_DROME    Q10714      FBgn0012037
angel                      ANGEL_DROME  Q24239      FBgn0016762
anon-EST:fe1G5      Dyak   CAV_DROYA    B4PKZ7      FBgn0022414
Anp                        ANDP_DROME   P21663      FBgn0000094
                    Dmau   ANDP_DROMA   O16825      FBgn0023321
                    Dore   ANDP_DROOR   Q8WSV0      FBgn0046938
                    Dsec   ANDP_DROSE   Q8WSV2      FBgn0025847
                    Dsim   ANDP_DROSI   Q8WSV4      FBgn0025411
                    Dtei   ANDP_DROTE   Q8WSV1      FBgn0046904
                    Dyak   ANDP_DROYA   Q8WPA1      FBgn0046894
Antp                       ANTP_DROME   P02833      FBgn0260642
                    Dsub   ANTP_DROSU   Q24645      FBgn0012932
AnxB9                      ANXB9_DROME  P22464      FBgn0000083
AnxB10                     ANX10_DROME  P22465      FBgn0000084
AnxB11                     ANX11_DROME  Q9VXG4      FBgn0030749
aop                        POK_DROME    Q01842      FBgn0000097
aos                        GIL_DROME    Q00805      FBgn0004569
ap                         APTE_DROME   P29673      FBgn0267978
AP-2alpha                  AP2A_DROME   P91926      FBgn0264855
APC10                      APC10_DROME  Q9V831      FBgn0034231
Aph4                       APH4_DROME   Q24238      FBgn0016123
aph-1                      APH1_DROME   Q9VQG2      FBgn0031458
aPKC                       APKC_DROME   A1Z9X0      FBgn0261854
Aplip1                     JIP1_DROME   Q9W0K0      FBgn0040281
APP-BP1                    ULA1_DROME   Q9VTE9      FBgn0261112
Appl                       A4_DROME     P14599      FBgn0000108
Aprt                       APT_DROME    P12426      FBgn0000109
                    Dpse   APT_DROPS    P54363      FBgn0012694
ara                        ARA_DROME    Q24248      FBgn0015904
aralar1                    CMC_DROME    Q9VA73      FBgn0028646
Arf51F                     ARF3_DROME   P40946      FBgn0013750
Arf79F                     ARF1_DROME   P61209      FBgn0010348
Arf102F                    ARF2_DROME   P40945      FBgn0013749
Argk                       KARG_DROME   P48610      FBgn0000116
ari-1                      ARI1_DROME   Q94981      FBgn0017418
ari-2                      ARI2_DROME   O76924      FBgn0025186
Arl1                       ARL1_DROME   P25160      FBgn0000115
Arl2                       ARL2_DROME   Q06849      FBgn0004908
arm                        ARM_DROME    P18824      FBgn0000117
armi                       ARMI_DROME   Q6J5K9      FBgn0041164
Arp1                       ACTZ_DROME   P45889      FBgn0011745
Arp2                       ARP2_DROME   P45888      FBgn0011742
Arp3                       ARP3_DROME   P32392      FBgn0262716
Arp5                       ARP5_DROME   Q9VEC3      FBgn0038576
Arp6                       ARP6_DROME   P45890      FBgn0011741
Arp8                       ARP8_DROME   Q9VX09      FBgn0030877
Arp53D                     ACTY_DROME   P45891      FBgn0011743
Arpc2                      ARPC2_DROME  Q9VIM5      FBgn0032859
Arr1                       ARRA_DROME   P15372      FBgn0000120
Arr2                       ARRB_DROME   P19107      FBgn0000121
                    Dmir   ARRB_DROMI   P19108      FBgn0012552
Ars2                       SRRT_DROME   Q9V9K7      FBgn0033062
Art4                       CARM1_DROME  Q9VH48      FBgn0037770
Art7                       ANM7_DROME   Q9W1V1      FBgn0034817
arx                        ASTRX_DROME  Q8SWX0      FBgn0036826
ase                        AST8_DROME   P09775      FBgn0000137
asf1                       ASF1_DROME   Q9V464      FBgn0029094
ash1                       ASH1_DROME   Q9VW15      FBgn0005386
ash2                       ASH2_DROME   Q94545      FBgn0000139
asp                        ASP_DROME    Q9VC45      FBgn0000140
asrij                      OCAD1_DROME  Q9W1X9      FBgn0034793
ast                        ASTE_DROME   Q9VPW1      FBgn0015905
AstA                       ALLS_DROME   Q9VC44      FBgn0015591
asun                       ASUN_DROME   Q9VEX5      FBgn0020407
Asx                        ASX_DROME    Q9V727      FBgn0261823
ATbp                       ATBP_DROME   Q86P48      FBgn0039946
Ate1                       ATE1_DROME   O96539      FBgn0025720
Atf3                       ATF3_DROME   Q9XZS8      FBgn0028550
Atg5                       ATG5_DROME   Q9W3R7      FBgn0029943
Atg6                       BECN1_DROME  Q9VCE1      FBgn0264325
Atg12                      APG12_DROME  Q9VTU1      FBgn0036255
