----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
svr                        CBPD_DROME   P42787      FBgn0004648
sw                         DYIN_DROME   Q24246      FBgn0003654
swa                        SWA_DROME    P40688      FBgn0003655
                    Dpse   SWA_DROPS    Q9U9I5      FBgn0027807
swi2                       HFW2_DROME   Q8SXT3      FBgn0034262
SWIP                       WASH7_DROME  Q9VXH9      FBgn0030739
Swip-1                     EFHD2_DROME  Q9VJ26      FBgn0032731
sws                        SWS_DROME    Q9U969      FBgn0003656
Sxl                        SXL_DROME    P19339      FBgn0264270
                    Dsub   SXL_DROSU    Q24668      FBgn0016371
Syb                        SYB_DROME    P18489      FBgn0003660
syd                        JIP3_DROME   Q9GQF1      FBgn0024187
Sym                        SYMPK_DROME  Q8MSU4      FBgn0037371
Syn                        SYN_DROME    Q24546      FBgn0004575
Syt1                       SY65_DROME   P21521      FBgn0004242
Syx1A                      STX1A_DROME  Q24547      FBgn0013343
Syx4                       STX4_DROME   Q7KVY7      FBgn0024980
Syx5                       STX5_DROME   Q24509      FBgn0011708
T3dh                       HOT_DROME    Q9W265      FBgn0017482
Tace                       ADA17_DROME  Q9VAC5      FBgn0039734
Taf1                       TAF1_DROME   P51123      FBgn0010355
TAF1B                      TAF1B_DROME  Q9VH20      FBgn0037792
Taf2                       TAF2_DROME   Q24325      FBgn0011836
Taf4                       TAF4_DROME   P47825      FBgn0010280
Taf5                       TAF5_DROME   P49846      FBgn0010356
Taf6                       TAF6_DROME   P49847      FBgn0010417
Taf7                       TAF7_DROME   Q9VHY5      FBgn0024909
Taf8                       TAF8_DROME   Q9VWY6      FBgn0022724
Taf10                      TAF10_DROME  Q9U5W9      FBgn0028398
Taf10b                     TAFAB_DROME  Q9XZT7      FBgn0026324
Taf11                      TAF11_DROME  P49906      FBgn0011291
Taf12                      TAF12_DROME  P49905      FBgn0011290
Tailor                     TUTT_DROME   Q9VI58      FBgn0037470
Tak1                       M3K7_DROME   Q9V3Q6      FBgn0026323
Takl1                      M3K7L_DROME  P83104      FBgn0046689
tal-1A                     TAL1A_DROME  C0HJX4      FBgn0259730
tal-2A                     TAL2A_DROME  C0HJX5      FBgn0259731
tal-3A                     TAL3A_DROME  A3RLR0      FBgn0259732
tal-AA                     TALAA_DROME  A3RLR1      FBgn0259733
Taldo                      TALDO_DROME  Q9W1G0      FBgn0023477
tam                        DPOG1_DROME  Q27607      FBgn0004406
tamo                       TAMO_DROME   Q9W1A4      FBgn0041582
Tango1                     TGO1_DROME   Q9VMA7      FBgn0031842
Tango2                     TNG2_DROME   Q9VYA8      FBgn0030503
Tango6                     TNG6_DROME   Q9VJ29      FBgn0032728
Tango7                     EIF3M_DROME  Q7JVI3      FBgn0033902
Tango11                    TNG11_DROME  Q961C9      FBgn0050404
Tango13                    TPST_DROME   Q9VYB7      FBgn0086674
tant                       TANT_DROME   Q8T0D4      FBgn0028980
Tao                        TAO_DROME    Q0KHQ5      FBgn0031030
tap                        TAP_DROME    O16867      FBgn0015550
Taz                        TAZ_DROME    Q9V6G5      FBgn0026619
Tbh                        TBH1_DROME   Q86B61      FBgn0010329
Tbp                        TBP_DROME    P20227      FBgn0003687
                    Dvir   TBP_DROVI    Q9NHP5      FBgn0041651
T-cp1                      TCPA_DROME   P12613      FBgn0003676
Tctp                       TCTP_DROME   Q9VGS2      FBgn0037874
tectonic                   TECT_DROME   Q9VMH0      FBgn0261697
tef                        TEF_DROME    Q7K4M4      FBgn0086350
tefu                       ATM_DROME    Q5EAK6      FBgn0045035
Ten-a                      TENA_DROME   Q9VYN8      FBgn0267001
Ten-m                      TENM_DROME   O61307      FBgn0004449
TER94                      TERA_DROME   Q7KN62      FBgn0261014
term                       TERM_DROME   P11455      FBgn0003683
Tet                        DMAD_DROME   M9NEY8      FBgn0263392
tey                        TEY_DROME    Q9VW27      FBgn0036899
Tfb1                       TF2H1_DROME  Q960E8      FBgn0033929
TfIIA-L                    TF2AA_DROME  P52654      FBgn0011289
TfIIA-S                    T2AG_DROME   P52656      FBgn0013347
TfIIA-S-2                  T2AH_DROME   Q9W5B9      FBgn0040338
TfIIB                      TF2B_DROME   P29052      FBgn0004915
                    Dvir   TF2B_DROVI   Q9NHP7      FBgn0041650
TfIIFalpha                 T2FA_DROME   Q05913      FBgn0010282
TfIIFbeta                  T2FB_DROME   P41900      FBgn0010421
TfIIS                      TFS2_DROME   P20232      FBgn0010422
tgo                        ARNT_DROME   O15945      FBgn0264075
Tgt                        TGT_DROME    Q9VPY8      FBgn0031321
TH1                        NELFD_DROME  Q24134      FBgn0010416
thetaTry                   TRYT_DROME   P42278      FBgn0011555
                    Dere   TRYT_DROER   P54628      FBgn0015082
thoc5                      THOC5_DROME  Q9W1F4      FBgn0034939
thoc6                      THOC6_DROME  Q9VTV1      FBgn0036263
thoc7                      THOC7_DROME  Q8IRJ8      FBgn0035110
thr                        THR_DROME    P42286      FBgn0003701
                    Dpse   THR_DROPS    Q6V3W0      FBgn0064414
                    Dvir   THR_DROVI    Q6V3V8      FBgn0064307
Tig                        TIG_DROME    Q9VMD9      FBgn0011722
tilB                       TILB_DROME   Q9VR52      FBgn0014395
tim                        TIM_DROME    P49021      FBgn0014396
                    Dhyd   TIM_DROHY    O44431      FBgn0023352
                    Dvir   TIM_DROVI    O17482      FBgn0022834
Tim8                       TIM8_DROME   Q9Y1A3      FBgn0027359
Tim9a                      TIM9_DROME   Q9VYD7      FBgn0030480
Tim9b                      T10B_DROME   Q9Y0V3      FBgn0027358
Tim10                      TIM10_DROME  Q9W2D6      FBgn0027360
Tim13                      TIM13_DROME  Q9VTN3      FBgn0036204
Tim17a1                    TI17C_DROME  Q9VGA2      FBgn0038018
Tim17a2                    TI17D_DROME  Q9VN97      FBgn0037307
Tim17b1                    TI17A_DROME  Q9VNA0      FBgn0037310
Timp                       TIMP_DROME   Q9VH14      FBgn0025879
tin                        TIN_DROME    P22711      FBgn0004110
Tina-1                     TINA1_DROME  Q9W0Y1      FBgn0035083
tinc                       TINC_DROME   Q86B91      FBgn0261649
tio                        TIPT_DROME   Q9U3V5      FBgn0028979
Tip60                      TIP60_DROME  Q960X4      FBgn0026080
tipE                       TIPE_DROME   P48613      FBgn0003710
Tis11                      TIS11_DROME  P47980      FBgn0011837
Tk                         TACHY_DROME  Q9VGE8      FBgn0037976
tko                        RT12_DROME   P10735      FBgn0003714
TkR86C                     TLR1_DROME   P30974      FBgn0004841
TkR99D                     TLR2_DROME   P30975      FBgn0004622
Tl                         TOLL_DROME   P08953      FBgn0262473
tld                        TLD_DROME    P25723      FBgn0003719
tll                        TLL_DROME    P18102      FBgn0003720
                    Dvir   TLL_DROVI    O16845      FBgn0013145
Tm1                        TPM1_DROME   P06754      FBgn0003721
                           TPM4_DROME   P49455                 
Tm2                        TPM2_DROME   P09491      FBgn0004117
Tnks                       TNKS_DROME   Q9VBP3      FBgn0027508
to                         TAKT_DROME   Q9VBV3      FBgn0039298
Toll-6                     TOLL6_DROME  Q9VUN0      FBgn0036494
Toll-7                     TOLL7_DROME  Q7KIN0      FBgn0034476
Tollo                      TOLL8_DROME  Q9V477      FBgn0029114
Tom40                      TO401_DROME  Q9U4L6      FBgn0016041
tomboy40                   TO402_DROME  A1Z6L1      FBgn0033074
Top1                       TOP1_DROME   P30189      FBgn0004924
Top2                       TOP2_DROME   P15348      FBgn0003732
Top3alpha                  TOP3A_DROME  Q9NG98      FBgn0040268
Top3beta                   TOP3B_DROME  O96651      FBgn0026015
topi                       TOPI_DROME   Q9VH70      FBgn0037751
Topors                     TOPRS_DROME  Q9V8P9      FBgn0267351
tor                        TORSO_DROME  P18475      FBgn0003733
Tor                        TOR_DROME    Q9VK45      FBgn0021796
Torsin                     TORS_DROME   O77277      FBgn0025615
tos                        EXO1_DROME   Q24558      FBgn0015553
TotA                       TOTA_DROME   Q8IN44      FBgn0028396
TotB                       TOTB_DROME   Q9VDH4      FBgn0038838
TotC                       TOTC_DROME   Q8IN43      FBgn0044812
TotF                       TOTF_DROME   Q9VIR2      FBgn0044811
TotM                       TOTM_DROME   Q9VMR8      FBgn0031701
TotX                       TOTX_DROME   Q8IN41      FBgn0044810
TotZ                       TOTZ_DROME   Q8IN42      FBgn0044809
Tpi                        TPIS_DROME   P29613      FBgn0086355
                    Dsim   TPIS_DROSI   Q7JNS1      FBgn0025034
                    Dyak   TPIS_DROYA   O77458      FBgn0025012
TpnC41C                    TNNC1_DROME  P47947      FBgn0013348
TpnC47D                    TNNC2_DROME  P47948      FBgn0010423
TpnC73F                    TNNC3_DROME  P47949      FBgn0010424
TppII                      TPP2_DROME   Q9V6K1      FBgn0020370
tra                        TRSF_DROME   P11596      FBgn0003741
                    Dere   TRSF_DROER   Q23935      FBgn0012286
                    Dhyd   TRSF_DROHY   Q23949      FBgn0012404
                    Dsim   TRSF_DROSI   Q24669      FBgn0012901
                    Dvir   TRSF_DROVI   Q24761      FBgn0013147
tra2                       TRA2_DROME   P19018      FBgn0003742
                    Dvir   TRA2_DROVI   O02008      FBgn0015686
trbd                       TRBID_DROME  Q9VH90      FBgn0037734
trc                        TRC_DROME    Q9NBK5      FBgn0003744
Trc8                       TRC8_DROME   Q7KRW1      FBgn0039668
Tre1                       GUTR1_DROME  Q9NDM2      FBgn0046687
Treh                       TREA_DROME   Q9W2M2      FBgn0003748
Tret1-1                    TRE11_DROME  A1Z8N1      FBgn0050035
Tret1-2                    TRE12_DROME  Q8MKK4      FBgn0033644
Trf                        TRF_DROME    Q27896      FBgn0010287
trh                        TRH_DROME    Q24119      FBgn0262139
Trip1                      EIF3I_DROME  O02195      FBgn0015834
                    Dyak   EIF3I_DROYA  B4NW98      FBgn0068012
trk                        TRUNK_DROME  Q24155      FBgn0003751
Trl                        GAGA_DROME   Q08605      FBgn0013263
trp                        TRP_DROME    P19334      FBgn0003861
TrpA1                      TRPA1_DROME  Q7Z020      FBgn0035934
Trpgamma                   TRPG_DROME   Q9VJJ7      FBgn0032593
trpl                       TRPL_DROME   P48994      FBgn0005614
Trpm                       TRPCG_DROME  A8DYE2      FBgn0265194
trr                        TRR_DROME    Q8IRW8      FBgn0023518
Trs20                      TPPC2_DROME  Q9VUZ1      FBgn0266724
trx                        TRX_DROME    P20659      FBgn0003862
                    Dvir   TRX_DROVI    Q24742      FBgn0014844
Trx-2                      THIO2_DROME  Q9V429      FBgn0040070
                    Dyak   THIO2_DROYA  Q6XHI1      FBgn0082378
Trxr-1                     TRXR1_DROME  P91938      FBgn0020653
Trxr-2                     TRXR2_DROME  Q9VNT5      FBgn0037170
TrxT                       THIOT_DROME  Q8IFW4      FBgn0029752
Ts                         TYSY_DROME   O76511      FBgn0024920
tsg                        TSG_DROME    P54356      FBgn0003865
tsh                        TSH_DROME    P22265      FBgn0003866
tsl                        TSL_DROME    P40689      FBgn0003867
tsr                        CADF_DROME   P45594      FBgn0011726
tsu                        RBM8A_DROME  Q9V535      FBgn0033378
Ttc19                      TTC19_DROME  Q8SYD0      FBgn0032744
Ttd14                      TTD14_DROME  Q7K556      FBgn0050118
ttk                        TTKA_DROME   P42282      FBgn0003870
                           TTKB_DROME   P17789                 
TTLL3A                     TTL3A_DROME  Q9VM91      FBgn0031854
TTLL3B                     TTL3B_DROME  Q9VM92      FBgn0031853
ttm2                       TI50B_DROME  Q9W0S3      FBgn0035124
ttm3                       TI50A_DROME  Q9V9P3      FBgn0032971
ttm50                      TI50C_DROME  Q9W4V8      FBgn0250874
ttv                        EXT1_DROME   Q9V730      FBgn0265974
tty                        TTY1_DROME   Q9U6L4      FBgn0015558
tub                        TUBE_DROME   P22812      FBgn0003882
                    Dvir   TUBE_DROVI   Q08171      FBgn0013148
tud                        TUD_DROME    P25823      FBgn0003891
tun                        NTAQ1_DROME  Q7K2Y9      FBgn0034046
tutl                       TUTL_DROME   Q967D7      FBgn0010473
tw                         POMT2_DROME  Q9W5D4      FBgn0086368
twe                        TWINE_DROME  Q03019      FBgn0002673
twf                        TWF_DROME    Q9VFM9      FBgn0038206
twi                        TWIST_DROME  P10627      FBgn0003900
                    Dere   TWIST_DROER  Q8I1G0      FBgn0064598
                    Dlit   TWIST_DROVI  Q9TX44      FBgn0064515
tws                        2ABA_DROME   P36872      FBgn0004889
tx                         DEI_DROME    P41894      FBgn0263118
U2A                        RU2A_DROME   Q9V4Q8      FBgn0033210
U2af38                     U2AF1_DROME  Q94535      FBgn0017457
U2af50                     U2AF2_DROME  Q24562      FBgn0005411
U26                        ACSF4_DROME  Q9VLL0      FBgn0027780
Uba3                       UBA3_DROME   Q9V6U8      FBgn0263697
Ubc2                       UBCD2_DROME  P52485      FBgn0015320
Ubc4                       UBCD4_DROME  P52486      FBgn0015321
Ubc6                       UBCD6_DROME  P25153      FBgn0004436
Ubc12                      UBC12_DROME  Q9VSF3      FBgn0035853
Ubc84D                     UBC84_DROME  P52487      FBgn0017456
Ubi-p63E                   UBIQP_DROME  P0CG69      FBgn0003943
ubl                        UBL5_DROME   Q9V998      FBgn0022224
Ubp64E                     UBPE_DROME   Q24574      FBgn0016756
Ubr1                       UBR1_DROME   Q9VX91      FBgn0030809
Ubx                        UBX_DROME    P83949      FBgn0003944
                    Dfun   UBX_DROFU    P05048      FBgn0012305
                    Dhyd   UBX_DROHY    Q23946      FBgn0012384
                    Dpse   UBX_DROPS    P20822      FBgn0243536
                    Dsim   UBX_DROSI    P83950      FBgn0014820
                    Dvir   UBX_DROVI    Q24703      FBgn0013100
Uch                        UCHL_DROME   P35122      FBgn0010288
Ufd1-like                  UFD1_DROME   Q9VTF9      FBgn0036136
Ugt                        UGGG_DROME   Q09332      FBgn0014075
unc80                      UNC80_DROME  Q9VB11      FBgn0039536
unc-4                      UNC4_DROME   O77215      FBgn0024184
unc-5                      UNC5_DROME   Q95TU8      FBgn0034013
unc-104                    KIF1A_DROME  A1ZAJ2      FBgn0267002
unc-119                    UN119_DROME  Q9XYQ2      FBgn0025549
unk                        UNK_DROME    Q86B79      FBgn0004395
unpg                       UNPG_DROME   Q4V5A3      FBgn0015561
up                         TNNT_DROME   P19351      FBgn0004169
Updo                       DCUP_DROME   Q9V595      FBgn0033428
                    Dvir   DCUP_DROVI   O18601      FBgn0020672
Upf1                       RENT1_DROME  Q9VYS3      FBgn0030354
uri                        URI_DROME    Q9W148      FBgn0035025
Uro                        URIC_DROME   P16163      FBgn0003961
                    Dpse   URIC_DROPS   P22673      FBgn0012716
                    Dsub   URIC_DROSU   O44111      FBgn0021077
                    Dvir   URIC_DROVI   P23194      FBgn0013101
Use1                       USE1_DROME   Q9VSU7      FBgn0035965
ush                        USH_DROME    Q9VPQ6      FBgn0003963
usp                        USP_DROME    P20153      FBgn0003964
Usp7                       UBP7_DROME   Q9VYQ8      FBgn0030366
Usp30                      UBP30_DROME  Q9W462      FBgn0029819
Uvrag                      UVRAG_DROME  Q9VK07      FBgn0032499
uzip                       UZIP_DROME   P10379      FBgn0004055
v                          T23O_DROME   P20351      FBgn0003965
                    Dana   T23O_DROAN   B3MQP7      FBgn0014630
                    Dsim   T23O_DROSI   Q24630      FBgn0013884
                    Dyak   T23O_DROYA   B4PYW0      FBgn0022818
VAChT                      VACHT_DROME  O17444      FBgn0270928
vanin-like                 VNNL1_DROME  Q9NFP1      FBgn0040069
vas                        VASA1_DROME  P09052      FBgn0262526
                           VASA2_DROME  B6JUP5                 
Vav                        VAV_DROME    Q9NHV9      FBgn0040068
VepD                       VEPD_DROME   Q9N2P6      FBgn0053200
vg                         VG_DROME     Q26366      FBgn0003975
Vha13                      VATG_DROME   Q9XZH6      FBgn0283536
Vha14               Dpse   VATF1_DROPS  O44091      FBgn0023293
Vha14-1                    VATF1_DROME  Q24583      FBgn0262512
Vha14-2                    VATF2_DROME  Q9VNL3      FBgn0037402
Vha16-1                    VATL_DROME   P23380      FBgn0262736
Vha26                      VATE_DROME   P54611      FBgn0283535
Vha36-1                    VATD1_DROME  Q9V7D2      FBgn0022097
Vha36-3                    VATD2_DROME  Q9NEF6      FBgn0040377
Vha44                      VATC_DROME   Q9V7N5      FBgn0262511
Vha55                      VATB_DROME   P31409      FBgn0005671
Vha68-1                    VATA1_DROME  P48602      FBgn0265262
Vha68-2                    VATA2_DROME  Q27331      FBgn0263598
VhaAC39-1                  VA0D1_DROME  Q9W4P5      FBgn0028665
VhaAC39-2                  VA0D2_DROME  Q9VCQ3      FBgn0039058
VhaSFD                     VATH_DROME   Q9V3J1      FBgn0027779
Vhl                        VHL_DROME    Q9V3C1      FBgn0041174
viaf                       VIAF1_DROME  Q8MR62      FBgn0036237
Victoria                   TOTE_DROME   Q8INV7      FBgn0053117
vih                        UBE2C_DROME  Q9VTY6      FBgn0264848
Vinc                       VINC_DROME   O46037      FBgn0004397
vir                        VIR_DROME    Q9W1R5      FBgn0003977
vls                        VLS_DROME    Q9VIP8      FBgn0003978
Vm26Aa                     VTU1_DROME   P11449      FBgn0003979
Vm26Ab                     VTU2_DROME   P13238      FBgn0003980
Vm32E                      VTU4_DROME   Q9VKI3      FBgn0014076
                    Dmau   VTU4_DROMA   A4UM12      FBgn0261779
                    Dsan   VTU4_DROSN   A4UM16      FBgn0261778
                    Dtei   VTU4_DROTE   A4UM19      FBgn0261777
Vm34Ca                     VTU3_DROME   Q06521      FBgn0003983
vn                         VEIN_DROME   Q94918      FBgn0003984
vnd                        VND_DROME    P22808      FBgn0261930
Vps25                      VPS25_DROME  Q7JXV9      FBgn0022027
Vps26                      VPS26_DROME  Q9W552      FBgn0014411
Vps28                      VPS28_DROME  Q9V359      FBgn0021814
Vps36                      VPS36_DROME  Q9VU87      FBgn0086785
Vps51                      VPS51_DROME  Q8MSY4      FBgn0034380
Vps60                      CHMP5_DROME  Q9VVI9      FBgn0036740
vret                       VRET_DROME   Q9VCU7      FBgn0263143
vvl                        CF1A_DROME   P16241      FBgn0086680
w                          WHITE_DROME  P10090      FBgn0003996
wapl                       WAPL_DROME   Q9W517      FBgn0004655
wash                       WASH1_DROME  Q7JW27      FBgn0033692
waw                        GUF1_DROME   Q9VRH6      FBgn0024182
wbl                        WBL_DROME    O44342      FBgn0004003
wcd                        UTP18_DROME  Q9V7P1      FBgn0262560
wdn                        SRYC_DROME   P15619      FBgn0005642
wdp                        WDP_DROME    Q9W266      FBgn0034718
Wdr82                      WDR82_DROME  Q9VLN1      FBgn0032030
wds                        WDS_DROME    Q9V3J8      FBgn0040066
WDY                        WDY_DROME    B4F7L9      FBgn0267449
wech                       WECH_DROME   Q9V4M2      FBgn0259745
Wee1                       WEE1_DROME   P54350      FBgn0011737
wek                        WEK_DROME    Q9VJN5      FBgn0001990
wg                         WNTG_DROME   P09615      FBgn0004009
wge                        WGE_DROME    Q3LHL9      FBgn0051151
wgn                        WGN_DROME    Q9VWS4      FBgn0030941
wisp                       GLD2B_DROME  Q9VYS4      FBgn0260780
wls                        WLS_DROME    Q95ST2      FBgn0036141
Wnt2                       WNT2_DROME   P28465      FBgn0004360
Wnt4                       WNT4_DROME   P40589      FBgn0010453
Wnt5                       WNT5_DROME   P28466      FBgn0010194
wntD                       WNT8_DROME   Q9VFX1      FBgn0038134
wol                        ALG5_DROME   Q9VLQ1      FBgn0261020
WRNexo                     WRNXO_DROME  Q9VE86      FBgn0038608
Wsck                       WSCK_DROME   P83097      FBgn0046685
wts                        WARTS_DROME  Q9VA38      FBgn0011739
wuho                       WUHO_DROME   Q9W415      FBgn0029857
wun                        WUN_DROME    Q9V576      FBgn0016078
wupA                       TNNI_DROME   P36188      FBgn0283471
Wwox                       WWOX_DROME   Q9VLU5      FBgn0031972
Xdh                 Dsub   XDH_DROSU    P91711      FBgn0013892
X-element\ORF1             GAGXE_DROME  Q9NBX5      FBgn0041613
X-element\ORF2             RTXE_DROME   Q9NBX4      FBgn0041612
xit                        ALG8_DROME   Q9W3V8      FBgn0029906
xmas-1                     XMAS1_DROME  Q9U3V8      FBgn0016080
xmas-2                     XMAS2_DROME  Q9U3V9      FBgn0028974
XNP                        ATRX_DROME   Q9GQN5      FBgn0039338
Xpac                       XPA_DROME    P28518      FBgn0004832
Xpc                        XPC_DROME    Q24595      FBgn0004698
y                          YELL_DROME   P09957      FBgn0004034
                    Dere   YELL_DROER   Q9BI23      FBgn0028820
                    Dgua   YELL_DROGU   Q9GP81      FBgn0043413
                    Dmad   YELL_DROMD   Q9GP71      FBgn0043409
                    Dmau   YELL_DROMA   P62408      FBgn0014776
                    Dpse   YELL_DROPS   Q9BI18      FBgn0013863
                    Dsim   YELL_DROSI   P62407      FBgn0012903
                    Dsub   YELL_DROSU   O02437      FBgn0015179
                    Dyak   YELL_DROYA   Q9BI17      FBgn0028749
yellow-f                   YELF_DROME   Q9VG09      FBgn0041710
yellow-f2                  YELF2_DROME  Q9VG08      FBgn0038105
yemalpha                   YEMA_DROME   P25992      FBgn0005596
yin                        PEPT1_DROME  P91679      FBgn0265575
Yippee                     YIPP_DROME   Q9XZF0      FBgn0026749
yki                        YAP1_DROME   Q45VV3      FBgn0034970
yl                         YL_DROME     P98163      FBgn0004649
YL-1                       VPS72_DROME  Q9VKM6      FBgn0032321
Yp1                        VIT1_DROME   P02843      FBgn0004045
Yp2                        VIT2_DROME   P02844      FBgn0005391
Yp3                        VIT3_DROME   P06607      FBgn0004047
z                          ZEST_DROME   P09956      FBgn0004050
                    Dmau   ZEST_DROMA   P67854      FBgn0012518
                    Dsec   ZEST_DROSE   P67855      FBgn0012801
                    Dsim   ZEST_DROSI   P67856      FBgn0012904
                    Dvir   ZEST_DROVI   Q24762      FBgn0013149
Z600                       Z600_DROME   P22469      FBgn0004052
Zasp52                     ZASP_DROME   A1ZA47      FBgn0265991
ZC3H3                      ZC3H3_DROME  Q9VSK8      FBgn0035900
zen                        ZEN1_DROME   P09089      FBgn0004053
                    Dsub   ZEN_DROSU    Q24648      FBgn0015180
zen2                       ZEN2_DROME   P09090      FBgn0004054
zetaTry                    TRYZ_DROME   P42280      FBgn0011556
                    Dere   TRYZ_DROER   P54630      FBgn0015083
zfh1                       ZFH1_DROME   P28166      FBgn0004606
zfh2                       ZFH2_DROME   P28167      FBgn0004607
zip                        MYSN_DROME   Q99323      FBgn0265434
Zip99C                     S39AD_DROME  Q9VAF0      FBgn0039714
Zmynd10                    ZMY10_DROME  Q9VU41      FBgn0266709
zpg                        INX4_DROME   Q9VRX6      FBgn0024177
zuc                        ZUC_DROME    Q9VKD7      FBgn0261266
Zw                         G6PD_DROME   P12646      FBgn0004057
                    Dsim   G6PD_DROSI   Q24625      FBgn0012860
                    Dyak   G6PD_DROYA   Q27638      FBgn0015691
Zw10                       ZW10_DROME   Q9W4X9      FBgn0004643
Zwilch                     ZWILC_DROME  Q9VA00      FBgn0061476

CG1090                     NCKXH_DROME  Q9VN12      FBgn0037238
CG1104                     UFL1_DROME   Q9VI55      FBgn0037467
CG1129                     GMPPB_DROME  Q7JZB4      FBgn0037279
CG1139                     C1139_DROME  Q9W056      FBgn0035300
CG1161                     Y1161_DROME  Q9VNA4      FBgn0037313
CG1218                     U609_DROME   Q9VNI3      FBgn0037377
CG1234                     NOC3L_DROME  Q9VI82      FBgn0037489
CG1239                     BN3D2_DROME  Q9VNH1      FBgn0037368
CG1307                     PTH2_DROME   O97067      FBgn0026566
CG1311                     CTLH1_DROME  Q9VZE7      FBgn0035523
CG1315                     ASSY_DROME   O97069      FBgn0026565
CG1339                     Y1339_DROME  Q9V4Q0      FBgn0033202
CG1354                     OLA1_DROME   Q8SWU7      FBgn0030151
CG1523                     DCA10_DROME  Q9VAT2      FBgn0039601
CG1542                     EBP2_DROME   Q9V9Z9      FBgn0039828
CG1544                     DHTK1_DROME  Q9VA02      FBgn0039827
CG1552                     Y1552_DROME  Q9VZ40      FBgn0030258
CG1598                     ASNA_DROME   Q7JWD3      FBgn0033191
CG1646                     PRP39_DROME  Q7KRW8      FBgn0039600
CG1657                     RME6_DROME   Q9VZ08      FBgn0030286
CG1749                     UBA5_DROME   Q9VYY3      FBgn0030305
CG1785                     GSCR2_DROME  Q9W3C2      FBgn0030061
CG1789                     UTP11_DROME  Q9W3C0      FBgn0030063
CG1827                     ASPG1_DROME  Q8MR45      FBgn0033431
CG1968                     COG6_DROME   Q9V564      FBgn0033401
CG1969                     GNA1_DROME   Q9VAI0      FBgn0039690
CG2061                     LANC3_DROME  Q9Y0Y7      FBgn0027498
CG2145                     ENDOU_DROME  Q9VZ49      FBgn0030251
CG2182                     GGNB2_DROME  Q9VNG1      FBgn0037360
CG2199                     Y2199_DROME  Q8IRH5      FBgn0035213
CG2200                     PEPE_DROME   Q9VYH3      FBgn0030447
CG2453                     COQ5_DROME   Q9VYF8      FBgn0030460
CG2614                     MET13_DROME  Q9VIK9      FBgn0032873
CG2650                     CCCP_DROME   O76879      FBgn0000092
CG2678                     Y678_DROME   Q8T053      FBgn0014931
CG2691                     RRP12_DROME  Q9VYA7      FBgn0030504
CG2709                     VILYA_DROME  O76908      FBgn0024977
CG2811                     YS11_DROME   Q9W0Y2      FBgn0035082
CG2846                     RIFK_DROME   O76206      FBgn0014930
CG2974                     NNRE_DROME   Q9W2Y3      FBgn0030178
CG2982                     NO66_DROME   Q7K4H4      FBgn0266570
CG3021                     MTU1_DROME   Q9W5B6      FBgn0040337
CG3062                     FLTOP_DROME  Q9W4I5      FBgn0025612
CG3107                     PREP_DROME   Q9V9E3      FBgn0033005
CG3149                     RFT1_DROME   Q9Y123      FBgn0027564
CG3160                     PGAP1_DROME  Q9W495      FBgn0029789
CG3224                     ZN593_DROME  Q9W3Y0      FBgn0029885
CG3267                     MCCB_DROME   Q9V9A7      FBgn0042083
CG3326                     FIGL1_DROME  Q9VQN8      FBgn0031519
CG3430                     MCMBP_DROME  Q9VM60      FBgn0031875
CG3434                     QTRD1_DROME  Q9VSZ6      FBgn0036000
CG3527                     NEP1_DROME   Q9W4J5      FBgn0029714
CG3556                     Y3556_DROME  Q9W4K2      FBgn0029708
CG3558                     U518_DROME   Q9VQK0      FBgn0025681
CG3570                     BMT2_DROME   Q9W138      FBgn0035035
CG3631                     XYLK_DROME   Q95T10      FBgn0038268
CG3634                     ST7_DROME    Q9VPB1      FBgn0037026
CG3638                     TTY2_DROME   Q9W5A5      FBgn0261444
CG3709                     PUS10_DROME  Q9VPK7      FBgn0031227
CG3714                     PNCB_DROME   Q9VQX4      FBgn0031589
CG3760                     CDV3_DROME   Q8MMC4      FBgn0022343
CG3781                     JOSL_DROME   Q9W422      FBgn0029853
CG3792                     MPU1_DROME   Q9VMW8      FBgn0031662
